Female_genotype,Species,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,Species,SPAD2_Date,Leaf_Auringle,ST,StPu,StPi,Kinki,Prolif,NBR,LI_COR,LI_COR_Date,SCiO,SCiO_Date
Dura-JSG-Y-RMM-429_P4_P1_P4_P2.3.1.1,Dura,6/27/23,6/27/23,179,73,8,7.3,54.7,12,53.4,7/19/23,Dura,1/0/1900,NA,N,N,Y,NA,NA,1,45.5,8/1/23,NA,NA
Zlux-FAC--P-87_P1_P1_P1_P4.2.1.1,Zlux,6/29/23,6/27/23,193,60,3,7.3,56.1,12.4,49.8,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,1,45.6,8/2/23,NA,NA
Bals-JSG-Y-LOS-142_P1_P1_P4_P1.1.1.1,Bals,6/27/23,6/27/23,201,89,3,7.4,55.3,13,63.4,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,43.6,8/1/23,NA,NA
Zdip-JLVTKV-719_P2_P1_P5_P3.1.1.1,Zdip,7/6/23,7/3/23,194,77,3,8.4,53.8,13.4,58.5,7/19/23,Zdip,1/0/1900,NA,N,N,Y,NA,NA,2,42.1,8/10/23,NA,NA
Bals-JSG-RMM-LCL-546_P3_P1_P3_P1.2.1.1,Bals,6/27/23,6/27/23,171,53,3,7,55.6,12.8,67.7,7/19/23,Bals,1/0/1900,NA,N,N,Y,NA,NA,1,26.2,8/1/23,NA,NA
Zdip-JLVTKV-719_P2_P1_P5_P1.2.1.1,Zdip,7/4/23,7/2/23,176,46,1,7.7,53.3,13,54.5,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,37.3,8/7/23,NA,NA
B73,B73,6/26/23,6/26/23,186,74,2,8.2,64.4,13,59.6,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,1,37,7/31/23,NA,NA
Dura-JSG-SRV-EAM-708_P3_P1_P4_P1.2.1.1,Dura,6/25/23,6/26/23,174,61,3,7.3,56.9,13,58.1,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,1,40.4,7/31/23,NA,NA
Mesa-JSG-465_P1_P1_P4_P1.2.1.1,Mesa,7/4/23,7/1/23,210,65,2,7.6,55,13.3,65,7/19/23,Mesa,1/0/1900,NA,N,N,Y,NA,NA,2,48.6,8/7/23,NA,NA
Mesa-JSG-Y-RMM-444_P2_P1_P3_P2.2.1.1,Mesa,6/26/23,6/26/23,187,68,3,8,60.5,12.9,50,7/19/23,Mesa,1/0/1900,NA,N,N,N,NA,NA,1,40.3,7/31/23,NA,NA
Bals-JLHNM-661_P2_P2_P3_P2.1.1.1,Bals,7/3/23,7/5/23,185,53,2,8.2,60,12.5,47.1,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,21.4,8/5/23,NA,NA
Zlux-G3_P3_P1_P1_P3.1.1.1,Zlux,7/8/23,7/6/23,177,55,2,7.1,63.3,12.6,56.6,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,0,22.3,8/15/23,NA,NA
Nabo-JSG-SRV-604_P2_P1_P5_P5.3.1.1,Nabo,6/30/23,6/30/23,201,77,3,6.3,54.3,14.4,64.4,7/19/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,1,39.6,8/3/23,NA,NA
Bals-JSG-RMM-558_P3_P1_P2_P1.1.1.1,Bals,7/2/23,6/30/23,191,86,3,6.8,55.1,13.6,54.1,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,42.9,8/5/23,NA,NA
B73,B73,6/30/23,6/30/23,183,61,2,8.2,65.6,13.1,61,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,2,38.2,8/3/23,NA,NA
Zdip-JSG-RMM-LCL-551_P2_P1_P1_P3.2.1.1,Zdip,7/3/23,7/3/23,210,84,2,6.6,63.4,13.7,58.4,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,2,41.1,8/5/23,NA,NA
Hueh-H1_P3_P1_P2_P2.1.1.1,Hueh,7/3/23,7/2/23,207,84,3,6.9,54.6,13.3,60.4,7/19/23,Hueh,1/0/1900,NA,N,N,N,NA,NA,2,40.3,8/5/23,NA,NA
Dura-JSG-SRV-EAM-705_P4_P1_P3_P5.2.1.1,Dura,6/29/23,6/27/23,182,55,2,8.9,63.2,13.4,56.9,7/19/23,Dura,1/0/1900,NA,N,N,Y,NA,NA,2,37.3,8/2/23,NA,NA
Zdip-JLVTKV-719_P2_P1_P1_P2.4.1.1,Zdip,7/4/23,7/3/23,169,58,4,8,66.5,13.4,53.5,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,13.6,8/7/23,NA,NA
Dura-JSG-SRV-EAM-708_P3_P1_P1_P2.1.1.1,Dura,6/29/23,6/29/23,181,60,2,8.7,64.6,12.4,48.6,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,1,27.9,8/2/23,NA,NA
Bals-JSG-467_P2_P1_P3_P1.1.1.1,Bals,7/3/23,7/2/23,181,62,2,8.1,61,14.2,64.3,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,41.3,8/5/23,NA,NA
Zdip-CIM10003_P3_P1_P4_P2.5.1.1,Zdip,6/30/23,6/29/23,135,48,3,7.5,47.1,12.6,57.6,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,0,30,8/3/23,NA,NA
Mesa-CIM11365_P4_P2_P1_P1.1.1.1,Mesa,7/5/23,7/5/23,174,55,2,8.6,63,15,62.5,7/19/23,Mesa,1/0/1900,NA,N,N,N,NA,NA,1,17.4,8/10/23,NA,NA
Zlux-G6_P4_P1_P4_P1.1.1.1,Zlux,7/3/23,7/1/23,161,60,2,7.5,55.7,12.7,56,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,1,0.9,8/5/23,NA,NA
Bals-JSG-RMM-558_P3_P1_P4_P1.2.1.1,Bals,6/30/23,6/28/23,197,80,3,8.1,58.1,15,59.9,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,40.3,8/3/23,NA,NA
Dura-JSG-SRV-EAM-705_P1_P1_P2_P3.1.1.1,Dura,7/2/23,7/2/23,177,51,2,6.6,44,14.1,53.5,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,1,29.3,8/5/23,NA,NA
Bals-JLNCM-646_P2_P1_P4_P2.2.1.1,Bals,6/30/23,6/30/23,158,38,4,7.4,51,12.7,54.9,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,18.7,8/3/23,NA,NA
Chal-CIM11400_P2_P1_P1_P1.2.1.1,Chal,7/1/23,7/2/23,218,84,3,7.3,59.1,14.4,62.8,7/19/23,Chal,1/0/1900,NA,N,N,Y,NA,NA,2,30.3,8/3/23,NA,NA
Bals-JSG-RMM-LCL-483_P3_P1_P4_P1.1.1.1,Bals,7/2/23,6/30/23,138,66,8,5.2,35,9,59.8,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,0,41.7,8/5/23,NA,NA
Zdip-JLVTKV-719_P2_P1_P3_P3.4.1.1,Zdip,7/8/23,7/7/23,194,78,1,8.6,68.3,13.5,51,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,2,31.5,8/15/23,NA,NA
Chal-CIM27215(CIM-1)_P2_P1_P5_P1.3.1.1,Chal,6/29/23,6/28/23,154,59,2,7,55.6,12.5,57.3,7/19/23,Chal,1/0/1900,NA,N,N,N,NA,NA,1,42,8/2/23,NA,NA
Hueh-H2_P4_P1_P4_P2.1.1.1,Hueh,6/30/23,6/30/23,160,57,5,7.9,52.3,15.6,45.7,7/19/23,Hueh,1/0/1900,NA,N,N,N,NA,NA,1,22.7,8/3/23,NA,NA
Zdip-CIM10003_P2_P1_P4_P4.3.1.1,Zdip,6/30/23,6/28/23,180,60,5,7.9,58.1,14.9,63.9,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,39,8/3/23,NA,NA
Zlux-G3_P3_P1_P5_P2.3.1.1,Zlux,7/1/23,6/30/23,168,53,2,7.5,49.5,13.7,52.9,7/19/23,Zlux,tagged plant first to senesce,NA,N,N,N,NA,NA,0,7.9,8/3/23,NA,NA
Zdip-JSG-RMM-LCL-551_P2_P1_P1_P1.2.1.1,Zdip,6/30/23,6/30/23,203,67,2,7.8,57,14.2,57.1,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,41.6,8/3/23,NA,NA
Bals-JSG-Y-RMM-458_P1_P1_P4_P1.2.1.1,Bals,7/2/23,7/2/23,178,63,2,7.8,61.5,11.7,53.6,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,36.4,8/5/23,NA,NA
Zdip-CIM10003_P3_P1_P2_P2.1.1.1,Zdip,7/1/23,6/30/23,215,83,2,8.6,66,15.3,57.6,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,44.4,8/3/23,NA,NA
Zdip-CIM10003_P3_P1_P3_P3.2.1.1,Zdip,6/29/23,6/30/23,147,54,3,7.6,52,11.8,57.6,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,2,48.1,8/2/23,NA,NA
Zdip-CIM10003_P2_P1_P5_P4.4.1.1,Zdip,6/29/23,6/28/23,166,54,2,8.6,61.3,12.6,58.1,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,2,34.6,8/2/23,NA,NA
Bals-JSG-Y-RMM-457_P3_P1_P1_P2.1.1.1,Bals,7/2/23,7/2/23,204,75,6,9.2,55,13.8,56.1,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,32.4,8/5/23,NA,NA
B73,B73,7/3/23,7/3/23,168,35,2,8.2,57.8,12.1,63.6,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,1,48.9,8/5/23,NA,NA
B73,B73,7/6/23,7/5/23,186,60,2,8,61,12.6,64.6,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,2,47.8,8/10/23,NA,NA
Dura-JSG-SRV-EAM-705_P1_P1_P5_P1.1.1.1,Dura,6/27/23,6/26/23,197,70,2,7.8,50.1,14,55.6,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,0,37.6,8/1/23,NA,NA
Hueh-H2_P4_P1_P1_P2.3.1.1,Hueh,7/3/23,7/4/23,223,90,3,7.6,52.1,14.7,55.8,7/19/23,Hueh,1/0/1900,NA,N,N,Y,NA,NA,2,30.9,8/5/23,NA,NA
B73,B73,6/29/23,6/28/23,185,45,2,9.1,68.5,12.5,61.1,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,1,45.3,8/2/23,NA,NA
Zlux-G3_P3_P1_P2_P1.2.1.1,Zlux,6/29/23,6/28/23,184,60,3,9,64.8,13.5,59.6,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,1,41.1,8/2/23,NA,NA
Nabo-JSG-SRV-606_P2_P1_P5_P1.1.1.1,Nabo,7/3/23,7/2/23,183,65,2,7.2,54.5,12.2,48.7,7/19/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,1,35.3,8/5/23,NA,NA
Chal-JSG-LCL-559_P2_P1_P4_P2.1.1.1,Chal,6/30/23,6/30/23,204,102,5,6.6,55.1,13.5,59.2,7/19/23,Chal,1/0/1900,NA,N,N,Y,NA,NA,2,42,8/3/23,NA,NA
Zdip-CIM10003_P2_P1_P2_P1.5.1.1,Zdip,7/2/23,6/30/23,221,63,2,7.9,64,13.9,57.4,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,20.4,8/5/23,NA,NA
Dura-JSG-Y-RMM-429_P2_P1_P3_P3.2.1.1,Dura,7/3/23,7/3/23,182,53,3,6.7,63.2,13.9,67,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,1,43.5,8/5/23,NA,NA
Zdip-JLVTKV-720_P1_P1_P5_P3.3.1.1,Zdip,6/27/23,6/27/23,226,70,3,9.4,73.1,16,66.8,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,56,8/1/23,NA,NA
Bals-JSG-LCL-704_P3_P1_P1_P1.2.1.1,Bals,6/30/23,7/1/23,192,81,2,6.3,50,13,56.5,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,43.9,8/3/23,NA,NA
Zdip-CIM10003_P2_P1_P3_P1.4.1.1,Zdip,6/30/23,7/2/23,157,56,4,9.1,62,9.6,53.3,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,10.8,8/3/23,NA,NA
Mesa-JSG-RMM-LCL-473_P3_P1_P3_P1.2.1.1,Mesa,6/26/23,6/26/23,164,55,3,7.2,56,11.5,61.2,7/19/23,Mesa,1/0/1900,NA,N,N,N,NA,NA,1,53.6,7/31/23,NA,NA
Dura-JSG-Y-RMM-429_P4_P1_P2_P2.2.1.1,Dura,6/28/23,6/28/23,184,80,4,9,59.6,11.9,57.8,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,1,22.5,8/2/23,NA,NA
Hueh-H2_P4_P1_P3_P2.3.1.1,Hueh,6/30/23,6/29/23,205,75,3,8.5,50.5,14,59.9,7/19/23,Hueh,1/0/1900,NA,N,N,N,NA,NA,1,51.8,8/3/23,NA,NA
Nabo-JSG-SRV-604_P2_P1_P5_P4.3.1.1,Nabo,7/7/23,7/8/23,166,49,2,5.5,42.5,12.6,57.5,7/19/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,0,29.7,8/10/23,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P2_P4.2.1.1,Zdip,7/4/23,7/4/23,243,100,2,7.9,64,15,61.6,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,42.5,8/7/23,NA,NA
Zdip-CIM10003_P3_P1_P2_P5.4.1.1,Zdip,6/25/23,6/25/23,176,70,2,6.4,48.2,12.3,55.3,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,46.9,7/31/23,NA,NA
B73,B73,6/30/23,6/27/23,193,59,2,8.3,66.2,12.5,60.3,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,1,43.3,8/3/23,NA,NA
Bals-JACV-T-082_P2_P1_P2_P1.1.1.1,Bals,6/30/23,6/26/23,162,60,3,8.4,71.3,11.7,64.4,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,46.1,8/3/23,NA,NA
Bals-JSG-LCL-704_P2_P1_P3_P1.1.1.1,Bals,6/23/23,6/25/23,181,65,8,6.9,57.6,12.5,60.4,7/19/23,Bals,1/0/1900,NA,N,N,Y,NA,NA,1,47.1,7/30/23,NA,NA
Zlux-G3_P3_P1_P4_P2.1.1.1,Zlux,6/30/23,6/29/23,191,60,2,5.1,60.1,12.8,55.7,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,2,50.7,8/3/23,NA,NA
Bals-JSG-RMM-LCL-511_P1_P2_P4_P2.1.1.1,Bals,6/29/23,6/29/23,205,71,4,8.3,69.7,13.5,52.4,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,0,35.8,8/2/23,NA,NA
Dura-JSG-Y-RMM-429_P2_P1_P3_P4.2.1.1,Dura,7/4/23,7/1/23,188,53,2,8.5,58.2,15,61.9,7/19/23,Dura,1/0/1900,NA,N,N,Y,NA,NA,1,8.6,8/7/23,NA,NA
Bals-JSG-Y-LOS-142_P2_P1_P2_P1.1.1.1,Bals,7/6/23,7/6/23,158,46,3,10.1,55,11.8,60.8,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,0,46.6,8/10/23,NA,NA
B73,B73,7/2/23,6/30/23,178,61,3,8.3,60,12.3,63.2,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,1,49.4,8/5/23,NA,NA
Mesa-JSG-LCL-JGRF-586_P1_P2_P2_P2.1.1.1,Mesa,6/28/23,6/28/23,168,73,9,6.5,56.1,13.2,56.7,7/19/23,Mesa,1/0/1900,NA,N,N,N,NA,NA,0,11.1,8/2/23,NA,NA
Chal-JSG-JMHC-634_P3_P1_P5_P1.2.1.1,Chal,6/28/23,6/28/23,158,50,5,9.7,58.1,12.8,65.4,7/19/23,Chal,1/0/1900,NA,N,N,N,NA,NA,1,7.1,8/2/23,NA,NA
Dura-JSG-SRV-EAM-708_P3_P1_P4_P2.3.1.1,Dura,6/25/23,6/26/23,169,57,4,8.1,63,12.1,57.4,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,1,44.1,7/31/23,NA,NA
Mesa-JSG-LCL-JGRF-586_P1_P2_P4_P1.2.1.1,Mesa,7/4/23,7/2/23,195,65,4,10,70.2,12.2,65.8,7/19/23,Mesa,1/0/1900,NA,N,N,N,NA,NA,1,15,8/7/23,NA,NA
B73,B73,7/2/23,6/30/23,190,75,3,8.3,60.6,13.6,61,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,2,29,8/5/23,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P3_P2.4.1.1,Zdip,7/3/23,7/9/23,182,65,2,8.1,66.5,12.4,51.6,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,2,32.9,8/5/23,NA,NA
Dura-JSG-SRV-EAM-705_P4_P1_P3_P2.2.1.1,Dura,6/29/23,6/28/23,188,65,1,7.7,62.1,14.4,50.5,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,1,41.5,8/2/23,NA,NA
B73,B73,7/2/23,6/30/23,183,57,2,8,57.5,13.4,55.5,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,1,33.6,8/5/23,NA,NA
Mesa-JSG-LCL-565_P2_P1_P5_P1.1.1.1,Mesa,7/4/23,7/6/23,173,50,4,7.4,55.5,12.9,59.4,7/19/23,Mesa,1/0/1900,NA,N,N,N,NA,NA,1,44.2,8/7/23,NA,NA
Zdip-CIM10003_P3_P1_P4_P1.3.1.1,Zdip,6/30/23,6/30/23,175,50,2,9.9,68.9,14.7,62.9,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,59.8,8/3/23,NA,NA
Zdip-CIM10003_P2_P1_P4_P2.1.1.1,Zdip,6/30/23,6/29/23,180,65,4,8.4,57.5,13.9,56.5,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,42.1,8/3/23,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P4_P3.2.1.1,Zdip,7/2/23,7/2/23,211,86,3,8.6,61.3,13.2,64.9,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,2,52.9,8/5/23,NA,NA
Nabo-JSG-SRV-604_P3_P1_P2_P2.5.1.1,Nabo,6/29/23,6/29/23,191,70,6,7.5,53,13,48.6,7/19/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,1,35.1,8/2/23,NA,NA
Nabo-JSG-SRV-604_P3_P1_P5_P2.4.1.1,Nabo,6/29/23,6/28/23,175,50,3,7.7,58,13,50.1,7/19/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,1,23.6,8/2/23,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P4_P2.3.1.1,Zdip,6/30/23,6/30/23,151,52,4,8.4,57.9,11.7,61.7,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,26.6,8/3/23,NA,NA
Zlux-G7_P2_P1_P2_P1.2.1.1,Zlux,6/28/23,6/28/23,167,77,7,6.5,46,14.6,56.9,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,1,51.6,8/2/23,NA,NA
Dura-JSG-Y-RMM-429_P2_P1_P3_P3.1.1.1,Dura,6/30/23,6/30/23,128,45,5,7.1,53,10.7,63.5,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,2,47.1,8/3/23,NA,NA
Bals-JSG-RMM-LCL-487_P1_P1_P1_P1.2.1.1,Bals,6/29/23,6/30/23,200,75,5,7.9,62.6,14.5,56.8,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,2,46.3,8/2/23,NA,NA
Nabo-JSG-SRV-606_P2_P1_P3_P2.2.1.1,Nabo,7/7/23,7/7/23,138,14,1,6.4,51.1,12,46.6,7/19/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,0,36.6,8/10/23,NA,NA
Nabo-JSG-SRV-604_P2_P1_P5_P1.2.1.1,Nabo,7/6/23,7/5/23,210,69,2,9.7,73.2,13.1,26.2,7/19/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,2,14.7,8/10/23,NA,NA
Zlux-G6_P4_P1_P3_P1.2.1.1,Zlux,7/3/23,7/2/23,176,69,2,7.1,55.5,12.5,62,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,1,37.6,8/5/23,NA,NA
Zlux-G6_P4_P1_P3_P1.3.1.1,Zlux,7/4/23,7/5/23,223,90,4,9.7,67.3,14.1,51.7,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,1,11.1,8/7/23,NA,NA
Bals-JLHNM-661_P2_P2_P5_P1.1.1.1,Bals,7/2/23,7/3/23,169,69,4,7.5,51.1,12.6,61.2,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,0,NA,1/0/1900,NA,NA
Zdip-JSG-RMM-LCL-551_P2_P1_P3_P1.3.1.1,Zdip,7/2/23,7/2/23,200,69,3,9.3,59,14,58.2,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,2,43.1,8/5/23,NA,NA
Chal-JSG-LCL-559_P2_P1_P1_P2.3.1.1,Chal,6/28/23,6/28/23,178,58,3,7.4,64,13.1,51.7,7/19/23,Chal,1/0/1900,NA,N,N,N,NA,NA,0,25.3,8/2/23,NA,NA
B73,B73,6/30/23,6/28/23,195,70,2,8.6,66.5,10.5,59.6,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,1,36.6,8/3/23,NA,NA
Zlux-G6_P4_P1_P5_P2.4.1.1,Zlux,7/3/23,7/2/23,191,65,2,7.9,59.5,12.7,62.7,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,1,42.6,8/5/23,NA,NA
Nabo-JSG-SRV-606_P2_P1_P2_P1.1.1.1,Nabo,7/1/23,7/1/23,183,59,3,7,59.5,12.2,57.8,7/19/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,1,10.3,8/3/23,NA,NA
Dura-JSG-SRV-EAM-708_P3_P1_P4_P4.3.1.1,Dura,7/2/23,6/29/23,201,73,2,7.9,56.2,13.2,58.1,7/19/23,Dura,1/0/1900,NA,N,N,N,NA,NA,1,21.5,8/5/23,NA,NA
B73,B73,7/2/23,6/30/23,180,65,2,8.1,61.5,12.9,62.8,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,1,44.3,8/5/23,NA,NA
Bals-JSG-RMM-LCL-495_P4_P1_P5_P1.1.1.1,Bals,7/2/23,6/30/23,183,59,4,9.1,62.7,14.5,61.8,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,47.9,8/5/23,NA,NA
Bals-JLNCM-646_P2_P1_P5_P1.3.1.1,Bals,7/2/23,6/30/23,171,58,2,7.1,47.1,13,58.4,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,0,24.8,8/5/23,NA,NA
B73,B73,6/30/23,6/28/23,188,67,2,7.9,60.8,13.1,64.9,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,1,26.2,8/3/23,NA,NA
Zlux-FAC--P-87_P1_P1_P4_P1.1.1.1,Zlux,6/30/23,6/30/23,205,77,3,8.4,64.2,14.1,59.3,7/19/23,Zlux,1/0/1900,NA,N,N,N,NA,NA,1,40.9,8/3/23,NA,NA
Mesa-CIM11365_P4_P2_P2_P1.1.1.1,Mesa,6/26/23,6/27/23,177,50,2,6.7,55.2,12.6,59.1,7/19/23,Mesa,1/0/1900,NA,N,N,N,NA,NA,1,54,7/31/23,NA,NA
Chal-CIM27215(CIM-1)_P2_P1_P3_P2.2.1.1,Chal,6/29/23,6/27/23,177,55,2,8.3,58.1,13.1,58.4,7/19/23,Chal,1/0/1900,NA,N,N,N,NA,NA,1,38.8,8/2/23,NA,NA
Bals-JSG-LCL-JR-P-702_P4_P1_P1_P2.2.1.1,Bals,6/27/23,6/26/23,205,81,3,7.1,56.2,13.1,55.5,7/19/23,Bals,1/0/1900,NA,N,N,N,NA,NA,1,17.8,8/1/23,NA,NA
Zdip-CIM10003_P3_P1_P4_P2.2.1.1,Zdip,6/29/23,6/27/23,186,80,5,6,47.4,13,55.6,7/19/23,Zdip,1/0/1900,NA,N,N,Y,NA,NA,1,28.2,8/2/23,NA,NA
B73,B73,6/28/23,6/28/23,178,55,2,7.6,56,13.6,56.4,7/19/23,B73,1/0/1900,NA,N,N,N,NA,NA,0,20.4,8/2/23,NA,NA
Zdip-JLVTKV-719_P2_P1_P2_P1.4.1.1,Zdip,7/1/23,6/29/23,128,47,2,7,49,12.4,55.8,7/19/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,0,14.6,8/3/23,NA,NA
Mesa-JSG-RMM-LCL-536_P1_P1_P2_P2.1.1.1,Mesa,6/30/23,6/29/23,178,70,2,8.9,58.2,12,59.4,7/19/23,Mesa,1/0/1900,NA,N,N,Y,NA,NA,0,47.5,8/3/23,NA,NA
Nabo-JSG-SRV-604_P3_P1_P3_P3.1.1.1,Nabo,6/30/23,6/29/23,217,77,2,8.4,59,15,61,7/19/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,1,7.1,8/3/23,NA,NA
Nabo-JSG-SRV-604_P2_P1_P3_P3.4.1.1,Nabo,6/30/23,6/30/23,175,58,2,9.6,62.1,15.5,58.5,7/20/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,1,38.6,8/3/23,NA,NA
Zdip-JLVTKV-720_P1_P1_P4_P2.4.1.1,Zdip,7/2/23,6/30/23,190,63,4,7.4,69.9,14,55.6,7/20/23,Zdip,1/0/1900,NA,N,N,Y,NA,NA,2,38.8,8/5/23,NA,NA
Nabo-JSG-SRV-604_P2_P1_P5_P3.2.1.1,Nabo,6/29/23,6/29/23,117,66,2,8.3,64.7,15.2,56.1,7/20/23,Nabo,1/0/1900,NA,N,N,N,NA,NA,1,45.4,8/2/23,NA,NA
Bals-JSG-RMM-LCL-474_P2_P1_P5_P2.3.1.1,Bals,7/2/23,6/30/23,229,77,4,8.1,47,14.4,51.5,7/20/23,Bals,1/0/1900,NA,N,N,N,NA,NA,0,37.9,8/5/23,NA,NA
Zdip-CIM10003_P3_P1_P2_P4.1.1.1,Zdip,7/7/23,7/8/23,202,73,2,8.1,56.9,15.5,58.4,7/20/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,2,42.4,8/10/23,NA,NA
Dura-JSG-Y-RMM-429_P4_P1_P3_P4.1.1.1,Dura,6/27/23,6/27/23,168,63,4,7.1,54.7,12.1,46.8,7/20/23,Dura,1/0/1900,NA,N,N,N,NA,NA,0,31.6,8/1/23,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P3_P3.2.1.1,Zdip,7/2/23,7/2/23,221,80,2,8.1,63,16.4,55.8,7/20/23,Zdip,1/0/1900,NA,N,N,N,NA,NA,1,42.8,8/5/23,NA,NA
Bals-JSG-Y-RMM-458_P1_P1_P5_P2.1.1.1,Bals,7/1/23,6/30/23,196,81,2,7.4,59,13.7,53.3,7/20/23,Bals,1/0/1900,NA,N,N,N,NA,NA,0,45.8,8/3/23,NA,NA
Bals-JSG-Y-LOS-142_P2_P1_P3_P1.1.1.1,Bals,6/30/23,6/30/23,210,75,5,7.9,64.6,14,57.1,7/20/23,Bals,1/0/1900,NA,N,N,N,NA,NA,0,46.8,8/3/23,NA,NA
