Female_genotype,Species,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,Species,SPAD2_Date,Leaf_Auringle,ST,StPu,StPi,Kinki,Prolif,NBR,LI_COR,LI_COR_Date,SCiO,SCiO_Date
Dura-JSG-SRV-EAM-705_P4_P1_P4_P6.2.1.1,Dura,6/27/23,6/28/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Mesa-JSG-465_P1_P1_P2_P1.2.1.1,Mesa,7/1/23,7/1/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Mesa-JSG-427_P2_P1_P1_P2.2.1.1,Mesa,6/25/23,6/26/23,180,70,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Chal-JSG-JMHC-639_P2_P1_P4_P1.1.1.1,Chal,6/30/23,7/1/23,184,55,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Zdip-JLVTKV-720_P1_P1_P4_P2.4.1.1,Zdip,7/4/23,6/30/23,192,70,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-517_P2_P1_P2_P1.2.1.1,Bals,7/7/23,7/4/23,178,76,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JLNCM-649_P4_P1_P1_P1.1.1.1,Bals,6/27/23,6/26/23,235,107,5,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,1,NA,NA,NA,NA,NA
B73,B73,6/27/23,6/27/23,182,62,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-LCL-672_P4_P1_P1_P1.2.1.1,Bals,7/2/23,6/27/23,200,69,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-495_P4_P1_P5_P2.2.1.1,Bals,7/19/23,7/4/23,186,65,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
B73,B73,7/2/23,7/1/23,187,66,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P2_P1_P2_P2.2.1.1,Zdip,6/27/23,6/27/23,177,53,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P3_P1_P4_P1.2.1.1,Zdip,6/30/23,7/1/23,214,73,6,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-534_P1_P1_P4_P1.2.1.1,Bals,7/2/23,7/1/23,188,80,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-517_P2_P1_P4_P1.2.1.1,Bals,6/26/23,6/26/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Bals-JSG-LCL-704_P2_P1_P3_P1.1.1.1,Bals,7/2/23,7/2/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Chal-JSG-LCL-559_P2_P1_P1_P1.2.1.1,Chal,6/28/23,6/26/23,206,73,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Hueh-H1_P3_P1_P1_P1.2.1.1,Hueh,7/2/23,7/1/23,294,86,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-546_P3_P1_P5_P1.1.1.1,Bals,6/27/23,6/27/23,249,98,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zlux-FAC--P-87_P1_P1_P1_P1.4.1.1,Zlux,6/30/23,6/30/23,201,72,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JLHNM-664_P3_P1_P5_P1.1.1.1,Bals,7/1/23,7/1/23,207,76,5,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,2,1,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-705_P4_P1_P5_P2.2.1.1,Dura,6/30/23,7/1/23,198,60,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
B73,B73,7/2/23,6/27/23,192,60,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P2_P1_P5_P3.1.1.1,Nabo,7/1/23,6/29/23,194,77,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,1,NA,NA,NA,NA,NA
Mesa-JSG-LCL-689_P2_P1_P3_P2.3.1.1,Mesa,6/25/23,6/25/23,157,72,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,2,NA,NA,NA,NA,NA
Bals-JSG-LCL-704_P3_P1_P4_P1.2.1.1,Bals,7/3/23,6/28/23,187,49,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JACV-T-018_P2_P1_P1_P1.2.1.1,Mesa,6/28/23,6/27/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Chal-CIM11400_P2_P1_P4_P1.2.1.1,Chal,7/2/23,7/1/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
